Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes,Dates
9/22/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",2.76,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-22T00:00:00
9/21/2022,"DD DOORDASH WHITEC, 8559731040,","DD DOORDASH WHITEC, 8559731040,",25.81,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-21T00:00:00
9/20/2022,"BUCKS STORE 02, MILFORD, OH","BUCKS STORE 02, MILFORD, OH",9.2,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-20T00:00:00
9/20/2022,"DD DOORDASH DASHMA, 8559731040,","DD DOORDASH DASHMA, 8559731040,",42.65,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-20T00:00:00
9/20/2022,"SQ *FUEGO PARRILLA, Milford, OH","SQ *FUEGO PARRILLA, Milford, OH",28.55,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-20T00:00:00
9/19/2022,ATM Fee,ATM WITHDRAWAL POSTED,3,debit,ATM Fee,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,ATM WITHDRAWAL POSTED,ATM WITHDRAWAL POSTED,40,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,NON-5/3 CASH WITHDRAWAL FEE,NON-5/3 CASH WITHDRAWAL FEE,3,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,RECURRING PURCHASE AT ZG * RENTA,RECURRING PURCHASE AT ZG * RENTA,29,debit,Mortgage & Rent,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,MCDONALD'S F1153 - 114810 990 LI,MCDONALD'S F1153 - 114810 990 LI,15.62,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,"BUCKS STORE 55, MILFORD, OH","BUCKS STORE 55, MILFORD, OH",10.6,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",3.89,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,"BUCKS STORE 02, MILFORD, OH","BUCKS STORE 02, MILFORD, OH",10.1,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,- 200 TRACTOR S 1325 STATE R MIL,- 200 TRACTOR S 1325 STATE R MIL,82.83,debit,Pet Food & Supplies,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,"VIP WIRELESS & SMO, MILFORD, OH","VIP WIRELESS & SMO, MILFORD, OH",35,debit,Mobile Phone,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,"DD DOORDASH BUFFAL, 8559731040,","DD DOORDASH BUFFAL, 8559731040,",28.56,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,- 506301 UNITED DAIRY FA MILFORD,- 506301 UNITED DAIRY FA MILFORD,12.85,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,"CASH APP*JOHN FUGA, 4153753176,","CASH APP*JOHN FUGA, 4153753176,",12,debit,Misc Expenses,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/19/2022,ATM WITHDRAWAL POSTED,ATM WITHDRAWAL POSTED,80,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-19T00:00:00
9/16/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",7,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-16T00:00:00
